Name,Price(07/11/2025),Price(08/11/2025)
Ajwah Date (Al-Madinah) 500gm,990,990
Amloki [tropical Sour Fruit],37.25,37.25
Australian Grape,125,125
Australian Kenu-Orange,207.5,207.5
Banana (Champa kola),7,7
Banana (Sagor kola) Ripe Regular Pcs,14,14
Banana (Shabri) Ripe Regular Pcs,13,13
Black Kalmi Safawi Dates 500gm,785,785
Coconut (Narikel] Pcs,160,160
Date Crown 1 Kg,595,595
Dates Zaytoun Mabroom Al Madinah 500 Gm,1050,1050
Dragon Fruits (Local),130,130
Fuji Apple,210,210
Gala Apple,250,250
Golden Apple (S.Africa),242.5,242.5
Green Grapes,345,345
Guava Thai (Local),55,55
Hogplum [amra],27.5,27.5
Kiwifruit,975,975
Longon,437.5,437.5
Mabroom Dates (Premium),462.5,462.5
Marium Date,387.5,387.5
Maryam Dates (Premium) - 1kg,1650,1650
Maryam Dates (Premium) - 500 Gm,830,830
Medjool Dates,412.5,412.5
Medjool Dates (Premium) 1000 Gm,1950,1950
Nashpati Red [pear Red],270,270
Nashpati White [pear White],172.5,172.5
Orange (Big),162.5,162.5
Papaya Ripe Thai,82.5,82.5
Pineapple Regular Pcs,70,70
Pomegranate Big,290,290
Sugarcane Jaggery 1 Kg Pack,245,245
Sugarcane Jaggery Powder 1 Kg Pack,380,380
Wood Apple [bel Big],150,150
Wood Apple [bel Small],80,80
Wood Apple [koth Bel],32,32
Yellow Malta,172.5,172.5
Ajwa Dates Al Madina 500 Gm Pack,850,850
Amf Durain,2195,2195
Amf Honey Dew Melon,1695,1695
AMF ORANGE,265,265
Amf Pomelo Thai,1750,1750
AMF TETUL ACHAR,245,245
Anar Big,195,195
Apple Australian Bulk,61.25,61.25
Apple Fuji,88.75,88.75
Apple Gala,90,90
Apple Green,87.5,87.5
Apple Jazz,1448,1448
Apple Red Pop Bulk,480,480
Apple Washington,448.75,448.75
Apple Washington Red,950,950
Ashini Mango,72.5,72.5
Avocado Hass,587.5,587.5
Avocado Kenya,498.75,498.75
Avocado Thai,1650,1650
Baby Orange,205,205
Baby Oranges,137.5,137.5
Banana Bangla,13,13
Banana Champa,8,8
Banana Shagor,14,14
Banana Shobri,14,14
Bean [katla Seem] Local Bulk,40,40
Bel Fruits,160,160
Bluberry,4935,4935
Boroi Local,35,35
Custard Apple,680,680
Custard Apple [atha] Green Bulk,490,490
Custard Apple Thai,947.5,947.5
Date Borai,112.5,112.5
Date Tunisia 500gm,365,365
Dates Ajwa,487.5,487.5
Dates Ambar,2450,2450
Dates Ambar 500gm Box,1450,1450
Dates Kalmi,395,395
Dates Mabroom Al Madina(Premium 500gm),795,795
Dates Mabrum,1950,1950
Dates Mariam,350,350
Dates Medjool Medium,412.5,412.5
Dates Safari 1kg Box,1880,1880
Dates Safawi Al Madina 500gm,595,595
Dates Sukkari,345,345
Dates Yellow,697.5,697.5
Dewya Local,60,60
Dragon Fruits (Imported),1800,1800
Dragon Fruits Local,137.5,137.5
Dragon Fruits Vietnam Bulk,720,720
Dragon Red,423.75,423.75
Dragon White,387.5,387.5
Dry Coconut,155,155
Dry Jujube (Shukna Boroi),190,190
FFA COCO FRESH RTD YOUNG COCONUT,172,172
Gala Apple (China) Bulk,195,195
Gobinda Vogh Mango,52.5,52.5
Golap Khejur Gur Clay Jar 1kg,449,449
Golap Khejur Gur Patali,224.5,224.5
Golap Pure Akher Gur Clay Jar 1kg,240,240
Gooseberry (Amloki) Indian,569,569
Gooseberry (Amloki) Local,39.5,39.5
Grapes Green,99.75,99.75
Grapes Red,187.5,187.5
Grapes Red Thai,562.5,562.5
Green Coconut (Dub),160,160
