Name,Price(07/11/2025),Price(08/11/2025)
ACI Aerosol Insect Spray 250ml,250.0,250.0
ACI Aerosol Insect Spray 350ml,340.0,340.0
ACI Aerosol Insect Spray 475ml,415.0,415.0
ACI Aerosol Insect Spray 800ml,620.0,620.0
ACI BLACK FIGHTER MAX LOW SMOKE MOSCOIL8H 10P,70.0,70.0
Aci Cockroach Spray 400ml,350.0,350.0
Aci Supreme Washing Powder 1kg,180.0,180.0
Akij Max Wash Synth Detergent Powder 1kg,145.0,145.0
Akij Max Wash Synth Detergent Powder 500gm,70.0,70.0
Andalus Disinfect Glass Cleaner Spray 500ml,170.0,170.0
Andalus Household Dishwashing Lemon 500ml,135.0,135.0
Angelic Air Freshener Amazonia 300ml,340.0,340.0
Angelic Air Freshener Anti Tabac 300ml,340.0,340.0
Angelic Air Freshener Citrus Burst 300ml,340.0,340.0
Angelic Air Freshener Orange Sparkling 300m,320.0,320.0
Angelic Air Freshener Orchid Breeze 300ml,340.0,340.0
Angelic Fresh Air Freshener Misty Wood 300ml,320.0,320.0
Armaf Enchanted Summer Air Freshener 300ml,545.0,545.0
Bashundhara Power Wash Synth Detergent Powder 1kg,180.0,180.0
Bashundhara Air Freshner Orchid 300ml,290.0,290.0
Bashundhara Facial Tissue Perfumed -150x2p,100.0,100.0
Bashundhara Facial Tissue Poly 200x2 400p,125.0,125.0
Bashundhara Facial Tissue White 120x2,85.0,85.0
Bashundhara Facial Tissue White 150x2,100.0,100.0
Bashundhara Hand Towel 1plyx250p Box,110.0,110.0
Bashundhara Hand Towel 1plyx250p Poly,105.0,105.0
Bashundhara Kitchen Towel 1roll,85.0,85.0
Bashundhara Kitchen Towel 2roll,160.0,160.0
Bashundhara Lit Dish Wash Bar 100gm,12.0,12.0
Bashundhara Lit Dish Wash Bar 300gm,40.0,40.0
Bashundhara Lit Dw Liq Lemon Push Sys 500ml,140.0,140.0
Bashundhara Lit Dw Liq Lemon Ref 250ml,65.0,65.0
Bashundhara Paper Napkin 80 pcs,70.0,70.0
Bashundhara Paper Napkin Perfumed 80 pcs,70.0,70.0
Bashundhara Power Wash Synth Detergent Powder 500g,90.0,90.0
Bashundhara Toilet Tissue Gold,38.0,38.0
Bashundhara Toilet Tissue Lemon,28.0,28.0
Bashundhara Toilet Tissue Pink,25.0,25.0
Bashundhara Toilet Tissue White,28.0,28.0
Bashundhara Toilet Tissue White 4pcs,100.0,100.0
BASHUNDHARA XTREME LIQ TOILET CLEANER 1LTR,180.0,180.0
Be Pure Hanging Lemon Car Perfume 6ml,690.0,690.0
Blossoms Mc Baking Paper 10mx30cm,400.0,400.0
Bqs Aluminium Foil Box 250ml 10pcs,85.0,85.0
Bqs Aluminium Foil Box 450 Ml 10pcs,105.0,105.0
Bqs Aluminium Foil Box 660 Ml 5pcs,95.0,95.0
Bqs Aluminium Foil Box 750 Ml 5pcs,100.0,100.0
Bqs Baking Paper 10 Meter,370.0,370.0
Bqs Bar B Q Stick B,46.0,46.0
Bqs Bar B Q Stick L,95.0,95.0
Bqs Bar B Q Stick M,42.0,42.0
Bqs Bar B Q Stick Xl,120.0,120.0
Bqs Bar B Q Stik S,40.0,40.0
Bqs Body Brush Long,100.0,100.0
Bqs Chopsticks 2 Pair,110.0,110.0
Bqs Diam Aluminum Foil 37.5 Sqf,250.0,250.0
Bqs Finger Nail File,140.0,140.0
Bqs Foot File Oval,130.0,130.0
Bqs Fruit Knife,155.0,155.0
Bqs Golden Khunti,330.0,330.0
Bqs Hair Brush F/H,60.0,60.0
Bqs Hand Wiper,195.0,195.0
Bqs Kitchen Lusni 4pcs Cotton,50.0,50.0
Bqs Kitchen Lusni Heavy 2 Pcs,70.0,70.0
Bqs Mosquito Killer Bat,820.0,820.0
Bqs Nail Cliper Om 3019-2,190.0,190.0
Bqs Nail Cuter Sdn,185.0,185.0
Bqs One time Plate L 12 Pcs,85.0,85.0
Bqs Onetime Hand Gloves 100pcs,120.0,120.0
Bqs Onetime Plate M 12 Pcs,50.0,50.0
Bqs Onetime Plate Peper M,85.0,85.0
Bqs Onetime Spoon B 12 Pcs,40.0,40.0
Bqs Onetime Spoon M 25 Pcs,55.0,55.0
Bqs Orchid Air Freshner 50g All,55.0,55.0
Bqs Orchid Air Freshner 70g All,100.0,100.0
Bqs Scourer Green Big 1pcs,30.0,30.0
Bqs Scourer Green Big 5pcs,130.0,130.0
Bqs Toilet Brush Flat,170.0,170.0
Chaka Adv Washing Powder 1000gm,145.0,145.0
Chaka Adv Washing Powder 2kg,375.0,375.0
Chaka Adv Washing Powder 500gm,75.0,75.0
CHAKA SUPER WHITE SYNTH DET POWDER 1000GM,180.0,180.0
CHAKA SUPER WHITE SYNTH DET POWDER1000G B2STK61,299.0,299.0
CLEAN ZEN FURNITURE WIPES BOX 20PX1PLY,120.0,120.0
CLEAN ZEN LEATHER WIPES BOX 20PX1PLY,120.0,120.0
CLEAN ZEN MAKEUP REMOVER WIPES BOX 20PX1PLY,150.0,150.0
CLEAN ZEN REFRESHING WIPES BOX 20PX1PLY,150.0,150.0
Clean Zen Sneaker Wipes Box 20px1ply,140.0,140.0
Crystal Glass&Multi Surface Clea Spray 350m,150.0,150.0
Diamond Aluminum Foil 5mx30cm,180.0,180.0
Dish Master Dish Washing Bar 300gm,40.0,40.0
Domex Fguard Limef Liq Toilet Cle500mg1bru,130.0,130.0
Domex Fguard Oceanf Liq Toilet Cle500mg1bru,130.0,130.0
Domex Freguard Oceanfre Liq Toilet Cle500m,130.0,130.0
Domex Fresh Guard Liq Toilet Cle Lime F 500ml,130.0,130.0
Domex Fresh Guard Ocean Toilet Cleaner -,175.0,175.0
Domex Fresh Guard Toilet Cleaner -750 ml,175.0,175.0
Domex Liq Toilet Cleaner 500ml Stk30,100.0,100.0
Domex Liq Toilet Cleaner 750ml Stk50,125.0,125.0
Eagle Power Low Smoke Mega Booster Coil 10 pcs,110.0,110.0
Eazy Liq Dishwash Push Sys 500ml,95.21,95.21
Extra Power Naphthalene,100.0,100.0
Extra Power Naphthalene 50pcs,128.0,128.0
Extra Power Super R Naphthalene 110/130g,95.0,95.0
Fantastik Air Freshner Citrus Breeze 300ml,280.0,280.0
Fantastik Air Freshner Lavender Spray 300ml,280.0,280.0
Fatema Clear Drinking Glass,99.0,99.0
Fatema Steel Spoon Fork Big,350.0,350.0
Fay Air Freshener Jesmine 300ml,340.0,340.0
Fay Air Freshener Orchid 300ml,340.0,340.0
Fay Air Freshener Rose 300ml,340.0,340.0
Fay Toilet Tissue White,30.0,30.0
Finis Aerosol 475ml,275.0,275.0
Finis Insect Powder 80g,40.0,40.0
Finis Insect Powder Extra Strong 40g,30.0,30.0
Finis Ozol All Purpose Cleaner 500 ml-Buy 1 Get 1 Free,150.0,150.0
Finis Rat Killer 50gm,20.0,20.0
Fresco Aer Freshener Anti Tobacco Black 300ml,280.0,280.0
Fresh Facial Tissue Perfumed 120x2,85.0,85.0
Fresh Facial Tissue Perfumed 150x2,100.0,100.0
Fresh Facial Tissue Perfumed 60x2,65.0,65.0
Fresh Facial Tissue White 120x2,85.0,85.0
Fresh Facial Tissue White 150x2,100.0,100.0
Fresh Facial Tissue White 60x2,65.0,65.0
Fresh Hand Towel 250pcs,100.0,100.0
Fresh Kitchen Towel 1roll,85.0,85.0
Fresh Paper Napkin Perfumed 100p,75.0,75.0
Fresh Paper Napkin White 100p,75.0,75.0
Fresh Toilet Tissue Gold,38.0,38.0
Fresh Toilet Tissue White,28.0,28.0
Fresh Toilet Tissue White Value pack -4pcs,100.0,100.0
Gim Birthday Paper Plate Big 10pcs,154.0,154.0
Glade Scented Gel Floral Perfection 180gm,390.0,390.0
Glitter Antibac Dishwash Liq Bottle 500ml,140.0,140.0
Glitter Antibac Dishwash Liq Pouch 250ml,70.0,70.0
Glitter Antibac Dishwash Liq Pouch 400ml,100.0,100.0
Glitter Glass&Surface Cleaner 500ml,135.0,135.0
Glow Fabric Expert Synth Det Powder 2kg,380.0,380.0
Godrej Aer Power Pocket Bathroom Fragrance -10 gm,75.0,75.0
Godrej Aer Power Pocket Fresh Blossom Bathroom Fragrance -10gm,75.0,75.0
Godrej Aer Pp Jasmine Floral Delight Bathr Frag 10g,75.0,75.0
Godrej Aer Spray Fresh Lush Green 220/240ml,300.0,300.0
Godrej Aer Spray Lemon Tangy Delight 300ml,300.0,300.0
Godrej Aer T Gel Fre L Green Car Frag Nat Del45g,599.0,599.0
Godrej Aer T Gel Pet C Pink Car Frag M Morn45g,599.0,599.0
Godrej Fab Liq Detergrnt Poly 1ltr,250.0,250.0
GODREJ HIT COCKROACHES KILLS AEROSOL 200ML,200.0,200.0
Godrej Hit Cockroaches Kills Aerosol 625ml,500.0,500.0
Godrej Hit Mosq Kills Aerosol Lime 475ml,415.0,415.0
Godrej Hit Mosq Kills Aerosol Lime 800ml,620.0,620.0
GODREJ HIT MOSQUITOES KILLS AEROSOL 200ML,225.0,225.0
Godrej Hit Mosquitoes Kills Aerosol 475ml,415.0,415.0
Good Knight Fab Rollon Mos Rep 8m,170.0,170.0
Good Knight Gold Flash Mosquito Liquid Vapouriser Mach + Refill 45ml,230.0,230.0
