Name,Price(07/11/2025),Price(08/11/2025)
Gfapl Promo Rfl Topper Nonstick Fry Pan 22cm,599,599
GIM BBQ CHULLI 10 SICK WITH NET,1600,1600
GIM BBQ CHULLI 6 SICK WITH NET,1050,1050
GIM BBQ FISH CHAPA NET,1200,1200
Gim Bbq Koila 1 Kg,130,130
Ihw Black Dinner Plate H8396,748,748
Ihw Bowl Deep -Lhw60/106,258.82,258.82
Ihw Diwali Deep Plate-P1065,588.24,588.24
Ihw Diwali Dinner Plate-N3604,566.18,566.18
Ihw Fish Plate Sk526,616,616
Ihw Knife 23426/068,368,368
Ihw Plate Flat -Lho105/501,510.29,510.29
Ihw Plate Flat -Lhp75/501,275,275
Ihw Spoon Ladle 103123,426,426
Ihw Steak Knife 23.0 Cm $ 101026sk,243,243
KAZI DISPASABLE PAPER STRAW 25 PCS,127,127
Kazi Disposable Plastic Plate 10'' 12p Bd,82,82
Kazi Disposable Plastic Plate 7.5'' 12p,52,52
Kazi Disposible Coffe Cup 250 Ml 12 Pcs,54,54
KAZI GARBAGE BAGS 18X24 INCHI. 10 PCS,133,133
Kazi Pp Glass Leafy,99,99
Kiam Die-Casting Deep Frypan Gl 28 Cm,1847.5,1847.5
Kiam Pressure Coocker Q/White 3.5ltr,1597.86,1597.86
Lacys Aluminum Foil 25 Sq/Ft,285,285
Pangdada Electric Kettle 2.0 Ltr,700,700
Pure It Micro Fiber Filter,200,200
Rfl Hotpot Jupiter Stelo 1800ml Marble -Glass Lid,702,702
Rfl Everest Thermo Water Bottle 750 Ml-889578,232.5,232.5
Rfl Flask Elite Vacuum Flask-1l-78464,670,670
Rfl Hi-Five Water Bottle 600 Ml,180,180
RFL Marino Water Bottle 700 ml,125,125
Rfl Marlo Water Bottle 450ml -Tr Mint & Sea Green,160,160
RFL TPR SS Fork Spoon-17 CM-6P-ROSA-966148,192,192
RFL Water Bottle Freezer Bottle-1.5l-881307,155,155
Rfl Winner Electric Kettle- (2.3l),1161,1161
ROYALEX NOAH ELECTRIC KETTLE P-1.8LTR,649,649
Unilever Pureit Classic Germ Kill Kit 3000 ltr,1400,1400
Unilever Pureit Classic Water Purifier,4999,4999
Unilever Pureit Germ kill Kit 1500 ltr,800,800
Vista Mixer Grinder King,7490,7490
Vista Mixer Grinder Power,7490,7490
Vista Mixer Grinder Royal,7490,7490
Vista Rice Cooker 2.8 L,3990,3990
Bfl Aluminium Foil Container 260ml 6p,48,48
Bfl Aluminium Foil Container 3 Chamber 6p,105,105
Bfl Aluminium Foil Container 400ml 6p,60,60
Bfl Aluminium Foil Container 510ml 6p,65,65
Bfl Aluminium Foil Container 930ml 6p,93,93
Bfl Gold Heavy Duty Aluminium Foil 5m 30cm,90,90
Bfl Gold Heavy Duty Aluminum Foil 45cm,158,158
Bfl Heavy Duty Aluminium Foil 5m 16sf,74,74
BLOSSOM ALUMINIUM FOIL 37.5SF,350,350
Diamond Aluminum Foil 37.5 Sq/Ft,206,206
Enroute 6 Inch Square Bowl 5 Pcs,75,75
Enroute 8.4 Inch Heart Shaped Plate 5 Pcs,85,85
Enroute 8?X6? Rectangular Bowl 5 Pcs,75,75
Enroute 9 Inch Round Plate 5 Pcs,90,90
Enroute 10 Inch Round Plate 5 Pcs,110,110
Et Rice Spoon 5016,295,295
GIM BBQ CHULLI 8 SICK WITH NET,1350,1350
Gim Both Side Tape 2.5 Cm,55,55
Gim Brbq Stick Bamboo L Fancy,140,140
Gim Firni Cup 15 Pcs,47,47
Gim Massal BBQ Sticks 14.5cm,52,52
Gim Massal BBQ Sticks 19.5cm,56,56
Gim Rasel Tea Stainer 7.5cm,50,50
Gim Spring Dal Ghutni,75,75
Ihw Knife 111728fk,155,155
Ihw Plate P3750,544,544
Ihw Butter Knife 14.0 Cm $ 101027bk,110,110
Ihw Diwali Rice Bowl-N3599,404.41,404.41
Ihw Knife 101027bk,96,96
Ihw Mat Place Bamboo011,233,233
Ihw Place Mat Pvc1481 G,213,213
IHW ROASTER-211PC00,1250,1250
Ihw Service Spoon B183,147,147
Ihw Spoon 17,770,770
Ihw Spoon 3030b1,676,676
Ihw Spoon Bcl20163,550,550
Innovative Proclean Magic Eraser,60,60
Kazi China Oven Gloves,214,214
Kazi Cloth Clip 30pcs Pkt,89,89
Kazi Cloth Clip Heavy 16pcs Cn,93,93
Kazi Cloth Clip Medium 12pcs,118,118
Kazi Diamond Fresh Naphthalene 30pcs Bd,67,67
Kazi Diamond Fresh Naphthalene 50pcs Bd,129,129
Kazi Disposable Fork 25pcs Bd,52,52
Kazi Fry Pan Lid Picker,175,175
Kazi Frying Pan Marble Coating 16cm Cn,697,697
KAZI GARBAGE BAGS 20 X30 INCHI. 10 PCS,223,223
Kazi Kitchen Apron Medium,158,158
Kazi Pp Glass Diamond,99,99
Kazi Pp Tumbler Diamond,99,99
