Name,Price(07/11/2025),Price(08/11/2025)
Shakib 75 Healthcare Classic Health Card 1p,452.38,452.38
Shakib 75 Healthcare Pre Health Card 1p,642.85,642.85
Wb Portable Bbq - Md8038,1555.0,1555.0
Bashundhara A4 Paper 80 Gsm,520.0,520.0
Boi Bichitra Notepad [among Us] Unruled | 100 Pages,70.0,70.0
Boi Bichitra Notepad [hello Kitty] Unruled | 100 Pages,70.0,70.0
Boi Bichitra Pelikan Exam Strandard Dust Free Eraser Small,47.0,47.0
Boi Bichitra Pelikan Gilbert Glue 50 Ml,62.0,62.0
Boi Bichitra Pelikan Soft Gel Pen Black,47.0,47.0
Cosby Candy Toys All Types W Chocbean & Sticker 5g,285.0,285.0
Deli 502 Super Glue E7146,30.0,30.0
Deli Ballpoint Pen (Oil Gel),5.0,5.0
Gim Cartoon Tape 2.5# Transparent,50.0,50.0
Gim Cartoon Tape Non-Transparent,50.0,50.0
Gq Econo,6.0,6.0
Gq Econo Castle Multi Color,5.0,5.0
Gq Econo Dx Teen,6.0,6.0
Gq Econo Full Time,6.0,6.0
Gq Econo Tech Point,5.0,5.0
Gq Econo Trendy,6.0,6.0
Gq Gq Genius,5.0,5.0
Mh Traders Water Color-Roundbox-1,199.0,199.0
Mh Traders Cartoon Ruler,16.0,16.0
Mh Traders Cryon Color-18pcs,250.0,250.0
Mh Traders Doll Pen,150.0,150.0
Mh Traders Highlighter Pen,60.0,60.0
Mh Traders Jug Sharpener,99.0,99.0
Mh Traders Kitty Sharpener,99.0,99.0
Mh Traders Puppy Sharpener,65.0,65.0
Mh Traders Rainbow Eraser,99.0,99.0
Mh Traders Ruler-30cm,35.0,35.0
Mh Traders Safety Scissors,45.0,45.0
Mh Traders Simu Pencil,10.0,10.0
Mh Traders Smart Wallet,99.0,99.0
Mh Traders Wooden Color Pencil Set-2,199.0,199.0
MH TRADERS WOOEN COLOR PENCIL SET-1,199.0,199.0
Omuda Nail Clipper 3001 8,214.0,214.0
Omuda Nail Clipper A 3001 35,207.0,207.0
Petra Black Matt Pencil - 2b,15.0,15.0
Petra Black Matt Pencil - Hb,15.0,15.0
Petra Classic Color Pencil Full Length - 13,228.0,228.0
Petra Classic Color Pencil Round Tin - 13,312.0,312.0
Petra Classic Color Pencil Round Tin - 24,468.0,468.0
Petra Correction Pen - 3ml,90.0,90.0
Petra Crown Glue Stick Cg-08gm,72.0,72.0
Petra Crown Oil Pastel -1800 (Pvc Box),384.0,384.0
Petra Eraser Big - New Black - S.Jar,20.0,20.0
Petra Eraser Big - New White - S.Jar,20.0,20.0
Petra Hi School Ball Pen-Black,9.0,9.0
Petra Highlighter Green,75.0,75.0
Petra Highlighter Yellow,75.0,75.0
Petra Mira Clear-Button-Fc,35.0,35.0
Petra Mira Permanent Marker - Black.Bt,50.0,50.0
Petra Mira Whiteboard Marker - Black.Bt,70.0,70.0
Petra Mira Whiteboard Marker - Green.Bt,70.0,70.0
Petra Mira Whiteboard Marker - Red.Bt,70.0,70.0
Petra Nokshi Ball Point Pen,16.0,16.0
Petra Phoenix Graphite Pencil - 2b,20.0,20.0
Petra Phoenix Graphite Pencil - 4b,35.0,35.0
Petra Phoenix Graphite Pencil - 6b,35.0,35.0
Petra Phoenix Graphite Pencil - Hb,20.0,20.0
Petra Phoenix Whiteboard Marker - Black,96.0,96.0
Petra Phoenix Whiteboard Marker - Red,96.0,96.0
Petra Resin Adhesive (125g),96.0,96.0
Petra Resin Adhesive (50g),48.0,48.0
Petra Scale - 30 Cm,25.0,25.0
Petra Stapler Pin Big - New Pack,40.0,40.0
Raad Note Book,121.0,121.0
Rana Slime Mis (S),79.0,79.0
S.M Anfal 200 Pg Big 1/1,120.0,120.0
S.M Anfal 200 Pg Big 1/2,120.0,120.0
S.M Birthday Taj,150.0,150.0
S.M Eraser Set 1/1,50.0,50.0
S.M Eraser Set 1/3,90.0,90.0
S.M Long Candle 1pcs Cnl 1/71,80.0,80.0
S.M Metal Model Car Small 1/4,650.0,650.0
S.M Pencil Sharpener 1/1,60.0,60.0
S.M Scotch Tape Transparent 0.7'',20.0,20.0
S.M Stant Mirror 1/1,180.0,180.0
S.M. Balloon+pumper Set Bl1/3,160.0,160.0
S.M. Color Full Give Bag Big 1/6,180.0,180.0
S.M. Decoration Beground,150.0,150.0
S.M. New Balloon 10pcs,170.0,170.0
S.M. New Balloon 12pcs,190.0,190.0
S.M. New Slaim 1/6,180.0,180.0
S.M. New Slaim 1/7,120.0,120.0
S.M. Note Book Small 1/1,250.0,250.0
S.M. Play Sand Kit 1/1,150.0,150.0
S.M. Play Sand Kit 1/2,180.0,180.0
Sa Color Gift Bag (Big),110.0,110.0
Sa Color Gift Bag (Small),50.0,50.0
Sa Cost Tape (Small),18.0,18.0
Sa Happy Birthday Balloon Big 10 Pcs,110.0,110.0
Sa Happy Birthday Balloon Small 20 Pcs,100.0,100.0
Sa Rapping Paper (K),23.08,23.08
Sa Rapping Paper (N),15.39,15.39
Wb Cutter Knife,65.0,65.0
Wb Pit Chulkani (Prime),83.0,83.0
Wb Water Pot 7017,555.0,555.0
