Name,Price(07/11/2025),Price(08/11/2025)
Ayer Fish (1-1.999) Kg/Pc,1199,1199
Bagda Chingri Medium Size,447.5,447.5
Balachaw Chingri (Deshi) 50 Gm,150,150
Bata Fish,122.5,122.5
Bele Fish (10-15) Pcs/Kg,262.5,262.5
Bele Fish (5-9) Pcs/Kg,695,695
Boal Fish (1.2-2.999) Kg/Pc,708,708
Boal Fish Deshi (1.2-2.999) Kg/Pc,850,850
Chapa Dry Fish (Deshi) 100 Gm,245,245
Deshi Chingri Dry Fish Small 100 Gm,175,175
Faisha Fish,650,650
Golda Chingri (10-14) Pcs,695,695
Golda Chingri (31-45) Pcs/Kg,445,445
Gulsha Tengra Fish Medium Size,172.5,172.5
Hilsha Fish (1-1.199) Kg/Pc,3509,3509
Hilsha Fish 500 Gm+,1050,1050
Hilsha Fish 700 Gm+,1790,1790
Horina Chingri,205,205
Kachki Dry Fish (Deshi ) 100 Gm,230,230
Kachki Fish Small,98.75,98.75
Karfu Fish Big,270,270
Katol Fish (1.5-1.999)kg/Pc,502.5,502.5
Katol Fish (2.5-3.499) Kg/Pc,1172.5,1172.5
KATOL FISH (3.5-4.999) KG/PC,560,560
KAZI FARMS DRIED SHRIMP BALACHAW 125GM,250,250
Kazi Farms Kitchen Churi Dried Fish 125gm,340,340
KAZI FARMS MOLA DRY FISH 125GM,275,275
Koi Fish (Pond),350,350
Koral Fish (1.1-1.999)kg/Pc,979,979
Loitta Dry Fish (Deshi ) 100 Gm,250,250
Mackerel Sea Fish,295,295
Mola Dry Fish (Deshi) 100 Gm,230,230
Mola Fish,380,380
Mregel Fish (1-2.99) Kg/Pc,432,432
Pabda Fish- Pond (20-25) Pcs/Kg,105,105
Pabda Fish Pond (30-40) Pcs/Kg,87.5,87.5
Pangas Fish Pond (1.5-2.999) Kg/Pc,273,273
Poya Fish River,620,620
Ruhi Fish (1.5-1.999) Kg/Pc,583.5,583.5
Ruhi Fish (1-1.499)kg/Pc,363,363
Ruhi Fish (3-3.999) Kg/Pc,2026.5,2026.5
Ruhi Fish (4-4.99) Kg/Pc,3510,3510
Rupchanda Fish 150gm+,1650,1650
Rupchanda Fish 200gm+,1850,1850
Sardin Fish Sea,240,240
Sarputi Fish (China),223,223
Shoal Fish (500-799) Gm/Pc,750,750
Shoal Fish 300 Gm+,580,580
Tatkini Fish,260,260
Telapia Fish (400-699) Gm/Pc,223,223
Telapia Fish (700-999) Gm/Pc,290,290
Tuna Fish Big Size,840,840
Ayer Fish (1-1.999) Kg/Pc,1360,1360
Ayer Fish (3-4.999) Kg/Pc,4470,4470
Ayer Fish Big (Hawor),1750,1750
Ayer Fish Deshi (2-2.999) Kg/Pc,3850,3850
Ayer Fish Deshi (600-999) Gm/Pc,950,950
Ayer Fish Medium (Hawor),1450,1450
Bagda Prawn (41-60pcs),773,773
Bagda Prawn (60-85 Pcs),650,650
Bain Fish Long Big (Hawor),1280,1280
Batashi Fish (Hawor),1190,1190
Bele Fish Big 6-10 Pcs/Kg (Hawor),1250,1250
Bele Fish Small (Hawor),750,750
Bfdc Ayer Kaptai Lk 500gm (+ -),560,560
BFDC BIG HEAD HAOR 500GM (+ -),370,370
BFDC PABDA KAPTAI LK 500GM (+ -),475,475
Bfdc Ruhi Kapti Lk 500gm (+ -),515,515
BFDC SHOAL KAPTAI LK 500GM (+ -),650,650
Black Carp Fish (3-4.999) Kg/Pc,490,490
Boal Fish (3-4.999) Kg/Pc,2250,2250
Boal Fish Big (Hawor),1090,1090
Boal Fish Medium (Hawor),890,890
Chapila Fish (Hawor),590,590
Chingri Small (Hawor),850,850
Chital Fish (3-4.999) Kg/Pc,2970,2970
Datina Koral Fish,750,750
Deshi Ayer Fish (1-1.999) Kg/Pc,1529,1529
Deshi Chingri Dry Fish Big 100 Gm,290,290
Deshi Suri Dry Fish 150 Gm,490,490
Dima Chingri Small Size,1180,1180
Frozen Hilsha 801 Gm - 900 Gm,1799,1799
Golda Chingri (5-8) Pcs/Kg,925,925
Golda Prawn (26-35pcs),745,745
Gulsha Tengra Fish- Big Size,545,545
Hilsha Fish (1.2-1.499)kg/Pc,3948,3948
Hilsha Fish (1.2kg - 1.5kg) /Kg (Padma),1697,1697
Hilsha Fish (1kg - 1.2kg) /Kg (Padma),2000,2000
Hilsha Fish (500gm - 600gm) /Pc (Padma),545,545
Hilsha Fish (601gm - 700gm) /Pc (Padma),697,697
Hilsha Fish (701gm - 800gm) /Pc (Padma),775,775
Hilsha Fish (901gm - 1kg) /Pc (Barishal),1790,1790
Hilsha Fish 300 Gram +,325,325
Hilsha Fish 800gm+,1990,1990
Hilsha Fish 900 Gm+,2590,2590
Hilsha Fish Extra Large 1.5 Kg +,3390,3390
HILSHA FISH FROZEN 1 KG+,1899,1899
HILSHA FISH FROZEN 1.2 KG+,2199,2199
Hilsha Fish Frozen 1.5 Kg+,2299,2299
Kachki Fish Small (Hawor),490,490
Kali Baush Fish Medium,550,550
Kali Baush Fish Medium (Hawor),650,650
Karfu Fish Big (Hawor),290,290
Karfu Fish Medium (Hawor),250,250
Kaski,560,560
Katol (4.5kg Up-6kg),532,532
Katol (2.5kg Up-3.5kg),512,512
Katol Fish (5-6.999) Kg/Pc,3250,3250
Katol Fish (7-9.999) Kg/Pc,890,890
Katol Fish Shirajganj (1.5-1.999) Kg/Pc,450,450
Katol Fish Shirajganj (3-4.999) Kg/Pc,480,480
Katol Fish Shirajganj (5-6.999) Kg/Pc,590,590
Kazi Farms Chingri Dry Fish Small 125gm,260,260
Kazi Farms Kitchen Loitta Dried Fish 125gm,240,240
Kholla Fish,720,720
Koi Processed (5 - 8 Pcs),330,330
Koral (1kg Up-1.5kg),950,950
Koral Fish Big,2100,2100
Koral Koye Fish,620,620
Loita (150gm Up),266,266
Loitta Dry Fish (Deshi) 150 Gm,350,350
Loitta Dry Fish 100 Gm (Deshi & Premium),345,345
Loitta Fish,275,275
Mackerel (6-8pcs/Kg),350,350
Magur Fish Processed (6-10)pcs/Kg,750,750
Manny Fish (Hawor),750,750
Meena Sun Dried Baspata 125 Gm,200,200
Meena Sun Dried Boro Churi 125 Gm,290,290
Meena Sun Dried Boro Loitta 125 Gm,260,260
Meena Sun Dried Chuto Icha 125 Gm,160,160
Meena Sun Dried Dari Mola 125 Gm,185,185
Meena Sun Dried Kachki 125 Gm,170,170
Meena Sun Dried Modu Faissa 125 Gm,145,145
Meena Sun Dried Poya Export 125 Gm,345,345
Meena Sun Dried Rupchanda 125 Gm,800,800
Meena Sun Dried Sada Mola 125 Gm,215,215
Meena Sun Dried Samudrik Chepa 125 Gm,145,145
Mola,680,680
Mola Fish Sea,250,250
Mregel Fish (3-4.99) Kg/Pc,490,490
Mrigel Fish 1.5kg-2.5kg,480,480
Pabda (13-20pcs),720,720
Pabda (21-30pcs),590,590
Pabda Fish (Hawor),490,490
Pachmishali Fish,77.25,77.25
Pangas Fish River 5kg+,5950,5950
Pangus Culture (1.5kgup),184,184
Pangus River 4kg+,1250,1250
Poya Fish Sea,550,550
Puti Fish Local (Hawor),550,550
Red Snapper Fish Sea,890,890
Ritha Fish Sea,480,480
Ruhi Fish (1kg-1.499) Kg/Pc,310,310
Ruhi Fish (2-3.499) Kg/Pc,1400,1400
Ruhi Fish (5-6.999) Kg/Pc,4450,4450
Ruhi Fish (7-9.999) Kg/Pc,1090,1090
Ruhi Fish Shirajgonj (1.5-2.499) Kg/Pc,490,490
Ruhi Fish Shirajgonj (1-1.499) Kg/Pc,350,350
Ruhi Fish Shirajgonj (2.5-3.99) Kg/Pc,560,560
Ruhi Fish Shirajgonj (4-4.99) Kg/Pc,680,680
Rui Culture 5 Kg Up,990,990
Rui Fish (3.5kg Up-5kg),832,832
Rupchanda (100-200gm),1038,1038
Rupchanda (201-300gm),1203,1203
Rupchanda Fish (8-10) Pcs/Kg,1350,1350
S & R Loitta Dry Fish 150 Gm,250,250
Sarputi Fish Local,350,350
Sarputi Fish Local (Hawor),395,395
Sea Crab Big,299,299
SHING FISH POND (PROCESSING),520,520
Shing Fish Processed (8-14)pcs/Kg,620,620
Shoal Fish (Hawor),730,730
Shoal Fish 800gm+,850,850
Shoal Fish Live,850,850
Taki Fish (Hawor),420,420
Taki Fish Local,390,390
Taposi Fish,850,850
Telapia (401-600gm),320,320
Telapiya Fish Large 1kg+,340,340
Tengra Fish Gulsha Medium (Hawor),790,790
Tengra Fish Local (Hawor),630,630
Tuna Fish (1.5-3kg),365,365
