Name,Price(07/11/2025),Price(08/11/2025)
Country Natural Chicken Breaded Crispy Strips -250gm,290,290
COUNTRY NATURAL CHICKEN GARLIC MEATBALL 1KG,650,650
Country Natural Chicken Meatball -250gm,205,205
Country Natural Chicken Samusa 300gm,250,250
Country Natural Dal Puri 500gm,150,150
Country Natural Low Fat Paratha 1200gm 20pcs,260,260
Country Natural Plain Paratha (Jambo) -1600gm,370,370
CP Chicken Chilli Nuggets -320gm,340,340
Cp Chicken Frank Cocktail 340g,280,280
Cp Chicken Frank Sausages -400gm,320,320
Cp Chicken Stick -250gm,260,260
Doux Chicken Franks Cheese 10p 340g,275,275
Doux Chicken Franks Hot&Spicy 10p 340g,275,275
Doux Chicken Franks Original 10p 340g,275,275
Doux Chicken Franks Smoked 10p 340g,275,275
Emborg Frozen Garden Peas 450gm,415,415
Emborg Frozen Mixed Vegetables 450gm,415,415
Emborg Frozen Sweet Corn 450gm,415,415
Golden Harvest Aloo Puri -454gm,140,140
Golden Harvest Chicken Suasage 12p 340gm,260,260
Golden Harvest Mega Deshi Parata -1600gm,380,380
Golden Harvest Single Bite Chick Samosa -250gm,215,215
Golden Harvest Spicy Chicken Sausage -340gm,275,275
Golden Harvest Straight Cut French Fries -500gm,200,200
Jhatpot Chicken Meatball 1000g Pouch,540,540
Kazi Farms Chicken Meatballs -250gm,195,195
Kazi Farms Chicken Nuggets (Original) -250gm,200,200
Kazi Farms Chicken Popcorn 250gm,260,260
Kazi Farms Chicken Samosa -250gm (22-23pcs),215,215
Kazi Farms Chicken Shami Kabab 200 Gm,230,230
Kazi Farms Chicken Strips -250gm,260,260
Kazi Farms Chicken Teasers -250gm,210,210
Kazi Farms Kids Chicken Nuggets -250gm,215,215
Kazi Farms Low Fat Paratha 1200gm,260,260
Kazi Farms Mega Deshi Paratha 1600gm,375,375
Kazi Farms Paratha -10pcs (650gm),170,170
Kazi Farms Plain Paratha Family pack -1300gm,320,320
Kazi Farms Vegetable Singara 500 Gm,170,170
Moon Star Doux Garlic Flavour 340 Gm,295,295
Moon Star Doux Hor & Spicy Flavour 340 Gm,295,295
Paragon Chicken Meat Ball -250gm,195,195
Paragon Chicken Nuggets -250gm,200,200
Paragon Chicken Nuggets 450gm,350,350
Paragon Chicken Popcorn 200gm,210,210
Paragon Chicken Samosa -400gm,320,320
Paragon Chicken Sausage -340gm,260,260
Paragon Chicken Shami Kabab -400gm,350,350
Paragon Dal Puri -454gm,145,145
Paragon Pastry Sheet 430gm,180,180
Paragon Red Wheat Roti-20pcs (900gm),220,220
Paragon Vegetable Samosa -400gm,145,145
Paragon Vegetable Spring Roll -400gm,145,145
Pran Chicken Sausage-340gm 10 Pcs,260,260
Quality Premium Paratha -20pcs (1300gm),320,320
Quality Aloo Puri -450gm,145,145
Quality Chicken Burger Patty -240gm,240,240
Quality Chicken Crispy Meatball -360gm,360,360
Quality Chicken Gizzard Singara,185,185
Quality Chicken Lollipop -350gm,385,385
Quality Chicken Meat Ball -250gm,210,210
Quality Chicken Popcorn -250gm,285,285
Quality Chicken Samosa -250gm,230,230
Quality Chicken Smoked Sausage -350gm,290,290
Quality Chicken Spring Roll 250gm,230,230
