Name,Price(07/11/2025),Price(08/11/2025)
Aci Freedom Cotton Soft Panty Systm 10p,100.0,100.0
Aci Freedom Heavy Flow Sanitary Napkin -8pads,120.0,120.0
Aci Freedom Heavy Flow Wings 16pads,200.0,200.0
Aci Freedom Napkin Heavy Flow Wings 8pad,110.0,110.0
Aci Freedom Regular Flow Popular 8p,45.0,45.0
Aci Freedom Sanitary Nap Panty Sys 15pads,130.0,130.0
ACNOL ANTIBAC HW BERRY BLAST REF 175ML,75.0,75.0
ACNOL LIME FRESH TOILET SOAP 75GM,55.0,55.0
Adidas Dynamic Pulse Deo Roll On 50ml,365.0,365.0
Angel 8oz 240ml Baby Bottle Rxa 8d2h1 Pp,358.0,358.0
Angel Baby Feed Bottle 2oz60mlrba 2a2 Pp,286.0,286.0
Angel Bottle Brush Br-1f3(16103),279.0,279.0
Angel Silicon Nipple Size-M 1pcs (15175),57.0,57.0
Axe Apollo Citrus & Madera 48H Body Spray- 150ml,425.0,425.0
Axe Deodorant Body Spray Black Pera Frozen & Cedro -150 ml,425.0,425.0
Axe Marine Fresh Ocean & Lima 48h Body Spray - 150ml,425.0,425.0
Axe Musk Canela & Ambar 48h Body Spray - 150ml,425.0,425.0
Baby Dove Sc Frag F Moist Baby Bathing Bar90g Indo,220.0,220.0
Baby Dove Sc Rich Moist Baby Bathing Bar90g Indo,220.0,220.0
Baby Dove Ssc Frag F Moist Head To Toe Wash200m Pol,595.0,595.0
Baby Dove Ssc Rich Moist Head To Toe Wash200m Pol,595.0,595.0
Baby Dove Ssc Rich Moist Head To Toe Wash400m Pol,1095.0,1095.0
Baby Soft Baby Face Cream 50ml,140.0,140.0
BABY SOFT BABY LOTION 100ML,190.0,190.0
Bigen Speedy Cond Color 20 Brow Black 40g,625.0,625.0
Bigen Speedy Hair Color C Dark Brown 883,875.0,875.0
Blaze O Skin Fruity Fling Shower Gel 250m Bd,400.0,400.0
Brush Up A Mint G Tooth Paste 100gm,70.0,70.0
CAVOTIN AQUA VITA SHAMPOO 250ML,600.0,600.0
CAVOTIN HYDRO SILK SURGE CONDTIONER 200ML,599.0,599.0
Cavotine Aloe Vera&Tea Tree Ad Shamp 250ml,590.0,590.0
Clariss Lemon Natural Face Wash 100ml,795.0,795.0
Clariss Papaya Natural Face Wash 100ml,795.0,795.0
