Name,Price(07/11/2025),Price(08/11/2025)
Beef Bone-In Premium,388.5,388.5
Beef Tripe (Vuri),470,470
Broiler Chicken With Skin,300,300
Broiler Chicken Without Skin,299,299
Chicken Bone Less (Fillet),620,620
Chicken Breast,495,495
Chicken Drumstick,490,490
Chicken Egg (Red) 1pcs,11.9,11.9
Chicken For Roast Sonali (400 Gm+/Pc),292.5,292.5
Chicken For Roast Pcs - 250 Gm +,185,185
Chicken Keema (Minced),249.5,249.5
Chicken Liver & Gizzard,117.5,117.5
Chicken Thigh Without Skin,360,360
Chicken Wings With Skin,95,95
Mutton Brain Pcs,120,120
Mutton Liver,342.5,342.5
Mutton Regular,1125,1125
Ox Brain Pcs,530,530
Ox Liver,410,410
Beef Boneless Premium,620,620
Beef Coroli,950,950
Beef Keema,312.5,312.5
Beef Stomach,1150,1150
Beef T-Bone Steak,1150,1150
Beef Topside Steak,1150,1150
Bengal M Chicken Fillet,675,675
Bengal Meat Chicken Cordon Blue 360 Gm,420,420
Bengal Meat Chicken Meat Ball 360 Gm,190,190
Bengal Meat Chicken Nuggets 250 Gm,250,250
Broiler Chicken Without Skin Less Fat,425,425
Chicken Boneless Fillet(For Meena Sweets),680,680
Chicken Deshi Sonali Small,630,630
Chicken For Roast Sonali (450-500gm),715,715
Chicken For Soup Sonali (130-150 )gm/Pc,620,620
Chicken Wings Without Skin,450,450
Deshi Chicken Free Range (400 Gm+/Pc),1140,1140
"Deshi Chicken,Farm (400 -700)gm/Pc",900,900
Duck Local,800,800
Duck (Goose),3960,3960
Egg Chicken White 1pcs,18.5,18.5
Layer Chicken,600,600
Mutton,1050,1050
Mutton Front Leg,1160,1160
Mutton Head,290,290
Mutton Paya Pcs,32,32
Ox Paya 350-500 Gm (±50),440,440
Paharee Chicken,1438.8,1438.8
Peking Duck,1110,1110
Pigeon,205,205
