Name,Price(07/11/2025),Price(08/11/2025)
Alovera Local Pcs,30,30
Ash Gourd [chal Kumra] Pcs,70,70
Banana Raw [kacha Kola] Pcs,12.5,12.5
Beat Root,19.5,19.5
Borboti [long French Bean] Bulk,18.75,18.75
Capsicum Green Bulk,95,95
Capsicum Yellow - India,187.5,187.5
Carrot [gajor] China Bulk,87.5,87.5
Cauliflower (ফুলকপি) Pcs,48,48
Chichinga [snake Gourd] Local,16,16
Coriander Leaves (Dhonia Pata) Local Bulk,24.5,24.5
Deshi Ada (Ginger Local),46.25,46.25
Deshi Rosun(Garlic Local),27.5,27.5
Dhundul [bath Sponge] Local Bulk,35,35
Fresh Sweet Potato (Kintoki Bijin) 1 Kg /Pac,250,250
Ginger China,21,21
Gourd [lau] Local Pcs,45,45
Green Chili Local,15,15
Indian Rosun (Garlic Imported)Bulk,45,45
Jam Alu,90,90
Jhinga [rib Gourd],75,75
Kacha Holud [green Turmeric] Bulk,10,10
Kakrol [teasel Gourd] Local,50,50
Kochur Chara,10,10
Kochur Loti Bulk,23.75,23.75
Korolla [bitter Gourd],17.5,17.5
Lal Shak [red Spinach] Pcs,19,19
Lemon [kagoji Lemon/Citron] Pcs,9,9
Lemon Elachi Pcs,10,10
Lemon Grass China Bulk,22,22
Lemon Local Pcs,10,10
Lettuce Leaf Bulk,40,40
Lomba Kalo Begun (Long Brinjal Black),32.5,32.5
Mula [radish],10,10
Onion Local Premium,59,59
Palong Shak [spinach] Pcs,35,35
Papaya Raw [kacha Papaya],20,20
Potato White Bulk Regular,11.5,11.5
Potol (Pointed Gourd),11,11
Pudina Pata [peppermint] Pc,25,25
Pumpkin [sweet Gourd],20,20
Pumpkin Green [sweet Gourd] Pcs,90,90
Red Skin Potato,22.5,22.5
Shola Kochu Local Pcs,70,70
Shosha [cucumber],16.25,16.25
Sobuj Gol Begun (Round Brinjals Green),45,45
Spring Onion,35,35
Sweet Potato Bulk,160,160
Tal Begun [ brinjal ],35,35
Tetul [tamarind] Local Bulk,30,30
Usthe [balsum App] Local Bulk,23.75,23.75
Vendi [ladies Finger],16.25,16.25
Angina Fresh Oyester Mushroom 100gm,60,60
Arum [ole Kochu] Bulk,90,90
Arum Leaf [kochu Shak] Pcs,17,17
Asparagus,823.75,823.75
Baby Corn Processed Pack,260,260
Banana ( kolar mocha),70,70
Banana Flower (Mocha) Pcs,45,45
Banana Steam,50,50
Bean [seem] Local,20,20
Beat Root With Data,30,30
Big Potato Of Bogra,21.25,21.25
Bitter Gourd,22.5,22.5
Bitter Gourd Long (Korolla),23.75,23.75
Bogra Small Potatoes,80,80
Borboti,22.5,22.5
Brinjal Round (Black),35,35
Brinjal Small,30,30
Cabbage,35,35
Cabbage [badacopi] Local Pcs,55,55
Capsicum Green,62.5,62.5
Capsicum Red,170,170
Capsicum Red - India,187.5,187.5
Capsicum Yellow,170,170
Carrot,35,35
Carrot Chaina,52.5,52.5
Cherry Tomato,473.75,473.75
CHICHINGA,17.25,17.25
Chichinga Premium,22.5,22.5
Chimla Chilli Green,112.5,112.5
Chinese Cabbage,387.5,387.5
Chui Jhal (Premium) 80 Gm,129,129
Cucumber (Deshi),17.5,17.5
Cucumber Country Fresh,90,90
Cucumber Premium,37.5,37.5
Data [stem] Pcs,39,39
Data Shak,20,20
Data Shak [stem Leaf] Pcs,22,22
Data Shak Premium,30,30
Dhundul Premium,30,30
Doina Pata (Bilati),75,75
Doina Pata (Local),50,50
French Bean,112.5,112.5
Garlic (China),27,27
Garlic China,45,45
Garlic Deshi,26,26
Ginger (China),32,32
Ginger Native,35,35
Gourd Premium,120,120
Green Chilli,68.75,68.75
Green Papaya,10,10
Green Pumpkin,18.5,18.5
Green Round Brinjal,28.75,28.75
Green Seem,4.5,4.5
Helencha Shak Pcs,16,16
